day,start_node,end_node,percentile,mild_infected,total
1,1002,7111,75,0,18
1,1002,7131,25,0,13
1,1002,7131,50,0,13
1,1002,7131,75,0,13
1,1002,7140,25,0,25
1,1002,7140,50,0,25
1,1002,7140,75,0,25
1,1002,7211,25,0,13
1,1002,7211,50,0,13
1,1002,7211,75,0,13
1,1002,7312,25,0,13
1,1002,7312,50,0,13
1,1002,7312,75,0,13
1,1002,7315,25,0,18
1,1002,7315,50,0,18
1,1002,7315,75,0,18
1,1002,7332,25,0,12
1,1002,7332,50,0,12
1,1002,7332,75,0,12
1,1002,7334,25,0,12
1,1002,7334,50,0,12
1,1002,7334,75,0,12
1,1002,7335,25,0,12
1,1002,7335,50,0,12
1,1002,7335,75,0,12
1,1002,7339,25,0,13
1,1002,7339,50,0,13
1,1002,7339,75,0,13
1,1002,8111,25,0,61
1,1002,8111,50,0,61
1,1002,8111,75,0,61
1,1002,8118,25,0,27
1,1002,8118,50,0,27
1,1002,8118,75,0,27
1,1002,8125,25,0,14
1,1002,8125,50,0,14
1,1002,8125,75,0,14
1,1002,8128,25,0,13
1,1002,8128,50,0,13
1,1002,8128,75,0,13
1,1002,8221,25,0,16
1,1002,8221,50,0,16
1,1002,8221,75,0,16
1,1002,8222,25,0,11
1,1002,8222,50,0,11
1,1002,8222,75,0,11
1,1002,8311,25,0,40
1,1002,8311,50,0,40
1,1002,8311,75,0,40
1,1002,8415,25,0,13
1,1002,8415,50,0,13
1,1002,8415,75,0,13
1,1002,9161,25,0,54
1,1002,9161,50,0,54
1,1002,9161,75,0,54
1,1002,9162,25,0,109
1,1002,9162,50,0,109
1,1002,9162,75,0,109
1,1002,9174,25,0,13
1,1002,9174,50,0,13
1,1002,9174,75,0,13
1,1002,9176,25,0,12
1,1002,9176,50,0,12
1,1002,9176,75,0,12
1,1002,9177,25,0,25
1,1002,9177,50,0,25
1,1002,9177,75,0,25
1,1002,9180,25,0,12
1,1002,9180,50,0,12
1,1002,9180,75,0,12
1,1002,9184,25,0,22
1,1002,9184,50,0,22
1,1002,9184,75,0,22
1,1002,9186,25,0,13
1,1002,9186,50,0,13
1,1002,9186,75,0,13
1,1002,9362,25,0,13
1,1002,9362,50,0,13
1,1002,9362,75,0,13
1,1002,9461,25,0,13
1,1002,9461,50,0,13
1,1002,9461,75,0,13
1,1002,9563,25,0,13
1,1002,9563,50,0,13
1,1002,9563,75,0,13
1,1002,9564,25,0,17
1,1002,9564,50,0,17
1,1002,9564,75,0,17
1,1002,9571,25,0,13
1,1002,9571,50,0,13
1,1002,9571,75,0,13
1,1002,9661,25,0,13
1,1002,9661,50,0,13
1,1002,9661,75,0,13
1,1002,9663,25,0,38
1,1002,9663,50,0,38
1,1002,9663,75,0,38
1,1002,9761,25,0,15
1,1002,9761,50,0,15
1,1002,9761,75,0,15
1,1002,9774,25,0,13
1,1002,9774,50,0,13
1,1002,9774,75,0,13
1,1002,9780,25,0,12
1,1002,9780,50,0,12
1,1002,9780,75,0,12
1,1002,10041,25,0,14
1,1002,10041,50,0,14
1,1002,10041,75,0,14
1,1002,10042,25,0,12
1,1002,10042,50,0,12
1,1002,10042,75,0,12
1,1002,11000,25,0,753
1,1002,11000,50,0,753
1,1002,11000,75,0,753
1,1002,12051,25,0,12
1,1002,12051,50,0,12
1,1002,12051,75,0,12
1,1002,12053,25,0,37
1,1002,12053,50,0,37
1,1002,12053,75,0,37
1,1002,12054,25,0,20
1,1002,12054,50,0,20
1,1002,12054,75,0,20
1,1002,12060,25,0,13
1,1002,12060,50,0,13
1,1002,12060,75,0,13
1,1002,12061,25,0,13
1,1002,12061,50,0,13
1,1002,12061,75,0,13
1,1002,12065,25,0,38
1,1002,12065,50,0,38
1,1002,12065,75,0,38
1,1002,12069,25,0,27
1,1002,12069,50,0,27
1,1002,12069,75,0,27
1,1002,12071,25,0,25
1,1002,12071,50,0,25
1,1002,12071,75,0,25
1,1002,12072,25,0,13
1,1002,12072,50,0,13
1,1002,12072,75,0,13
1,1002,13003,25,0,51
1,1002,13003,50,0,51
1,1002,13003,75,0,51
1,1002,13004,25,0,8
1,1002,13004,50,0,8
1,1002,13004,75,0,8
1,1002,13072,25,0,56
1,1002,13072,50,0,56
1,1002,13072,75,0,56
1,1002,13073,25,0,26
1,1002,13073,50,0,26
1,1002,13073,75,0,26
1,1002,13074,25,0,58
1,1002,13074,50,0,58
1,1002,13074,75,0,58
1,1002,13076,25,0,28
1,1002,13076,50,0,28
1,1002,13076,75,0,28
1,1002,14511,25,0,13
1,1002,14511,50,0,13
